bankruptcy_relevance,branch,case_citation,category,circuit,court,date_issued,disclosure_required,disclosure_scope,docket_no,framework_tag,holding_summary,id,internal_corpus_use,judge,jurisdiction_level,order_type,sanctions_imposed,source_type,source_url,subject_matter,tags,title,triggering_conduct,verification_status
secondary,judicial,"People v. Crabill, 23PDJ067 (Colo. OPDJ Nov. 22, 2023)",disciplinary,n/a (state attorney discipline),Colorado Office of Presiding Disciplinary Judge,2023-11-22,n/a,n/a,23PDJ067,compounding_misconduct,Disciplinary court approved stipulated suspension establishing the state-bar disciplinary framework for AI-driven citation hallucinations: filing AI-generated authorities without verification implicates competence and diligence rules; subsequent dishonesty about the source of the errors implicates candor and misrepresentation rules. The compounding-misconduct pattern (AI hallucination plus deception about origin) is what drove the actual-suspension component beyond what citation-only conduct typically merits.,crabill-co-opdj-2023,"candor_violation_compounding, ai_plus_dishonesty_pattern","Hon. Bryon M. Large, Presiding Disciplinary Judge",state,disciplinary_referral,"Suspension of one year and one day, with 90 days actively served and the remainder stayed upon successful completion of a two-year probation period. Violations: Colorado Rules of Professional Conduct 1.1 (competence), 1.3 (diligence), 3.3(a)(1) (candor toward tribunals), 8.4(c) (dishonesty / misrepresentation).",court_website,"https://www.coloradolegalregulation.com/wp-content/uploads/PDJ/Decisions/Crabill,%20Stipulation%20to%20Discipline,%2023PDJ067,%2011-22-23.pdf",state_bar_discipline,"state_bar_discipline, hallucinated_citations, suspension, attorney, candor_violation, framework_setter, compounding_misconduct",People v. Zachariah C. Crabill: Stipulation to Discipline,"Attorney drafted and filed a motion to set aside judgment in a civil case using case law obtained from ChatGPT, without reading the cases or verifying the citations were accurate. Before the hearing, attorney discovered the cited cases were either incorrect or fictitious. After the court flagged the citations, attorney made false statements to the judge attributing the errors to a legal intern, who in fact had no involvement.",primary_source_verified
secondary,judicial,"United States v. Cohen, S.D.N.Y. (Furman J., Mar. 2024)",judicial,2d Cir.,"U.S. District Court, Southern District of New York",2024-03-20,n/a,n/a,[pending docket pull],good_faith_no_sanctions,"Court found the false citations 'embarrassing and certainly negligent' but declined to impose sanctions, finding neither Cohen nor Schwartz acted in 'bad faith.' Holding establishes the GOOD-FAITH FRAMEWORK for AI-hallucination cases: where the filer demonstrates a genuine misunderstanding of the AI tool's capabilities (rather than reckless disregard), Rule 11 sanctions may not lie. This is a doctrinal counterpoint to Mata v. Avianca's subjective-bad-faith finding on similar facts; together they bracket the scienter spectrum for AI-citation misconduct.",cohen-sdny-furman-2024,"good_faith_defense_threshold, scienter_distinction","Hon. Jesse M. Furman, U.S.D.J.",federal,opinion,NONE imposed. Court declined to sanction either Michael Cohen (former Trump attorney; pro se litigant in his post-prison supervision matter) or his attorney David M. Schwartz.,secondary_aggregator (Courthouse News / ABA Journal); primary docket pull pending,https://www.courthousenews.com/judge-wont-sanction-michael-cohen-over-ai-generated-fake-legal-cases/,"criminal, supervised_release","2d_circuit, hallucinated_citations, no_sanctions, good_faith_framework, scienter, framework_setter, criminal_supervised_release",United States v. Cohen: Order Declining Sanctions on AI-Hallucinated Citations,"Cohen included three fabricated case citations in a brief seeking early termination of supervised release. Citations were generated by Google Bard, which Cohen reportedly believed was a 'super-charged search engine' rather than a generative-text service. Cohen forwarded the citations to Schwartz, who incorporated them into the filing without independent verification.",facts_corroborated_multi_source
secondary,judicial,"Noland v. Land of the Free, L.P. (Cal. Ct. App. Sept. 2025) (first published state appellate opinion on AI-hallucinated citations)",judicial,n/a (state intermediate appellate),California Court of Appeal,2025-09 (exact day pending opinion pull),n/a,n/a,[pending opinion pull],fail_to_detect_opposing_ai,"California's first published appellate opinion on AI-fabricated citations. Establishes two distinct doctrines: (1) the $10,000 monetary-sanction baseline for state appellate AI-citation misconduct, consistent with the Watson per-infraction-rate framework but as a flat amount; and (2) the FAIL-TO-DETECT-OPPOSING-AI doctrine, holding that opposing counsel who fails to identify and report an adversary's AI-fabricated citations forfeits otherwise-available attorneys' fee awards. The latter is a novel duty-of-vigilance framework expanding the AI-detection obligation beyond one's own filings to opposing-counsel filings.",noland-cal-coa-2025,"duty_of_vigilance, opposing_counsel_review","[panel, pending opinion pull]",state,sanctions_order,"$10,000 sanction against appellant's counsel. Court declined to award attorneys' fees, costs, or sanctions payable to respondent because respondent's counsel failed to alert the court to the fabricated citations and appeared unaware of them until the court issued an order to show cause.",secondary_aggregator (McGuireWoods alert / LawSites / ABA Journal); primary opinion pull pending,https://www.mcguirewoods.com/client-resources/alerts/2025/9/california-appellate-court-issues-10k-sanctions-in-states-first-published-opinion-on-ai-hallucinated-case-citations/,civil,"state_court, california, hallucinated_citations, framework_setter, fail_to_detect_doctrine, first_published_opinion, duty_of_vigilance, attorney_fees_forfeiture","Noland v. Land of the Free, L.P.: Order on AI-Fabricated Citations",Appellant's counsel filed two appellate briefs replete with fabricated quotations and citations generated by AI tools.,facts_corroborated_multi_source
secondary,judicial,Fivehouse v. United States (E.D.N.C. 2025) (TRICARE for Life GLP-1 coverage challenge),judicial,4th Cir.,"U.S. District Court, Eastern District of North Carolina",2025-12 (show-cause order; final disposition pending),n/a,n/a,[pending docket pull],government_attorney_no_immunity,"First high-profile federal-prosecutor AI-hallucination sanctions matter, with a Department of Justice attorney as the sanctioned actor. Establishes the GOVERNMENT-ATTORNEY FRAMEWORK: federal prosecutors face the same Rule 11 and candor-toward-tribunal duties as private counsel when filing AI-assisted briefs, and may be subject to monetary sanctions, court suspension, or contempt for AI-fabricated authorities. Notable additional pattern: pro se litigant, here an experienced military lawyer, detected the fabrications, paralleling the broader AI-detection-by-pro-se phenomenon documented elsewhere.",fivehouse-v-us-ednc-2025,"ust_government_attorney_pattern, miller_doj_posture, pro_se_detector_role","Hon. Robert T. Numbers II, U.S. Magistrate Judge",federal,sanctions_order,"Show-cause hearing held in Raleigh; final disposition pending. Court signaled that monetary sanctions, suspension from the court, and contempt remain available remedies; expressed it was heartened by remedial steps the U.S. Attorney's Office is reportedly taking.",secondary_aggregator (Bloomberg Law / FindLaw); primary docket pull pending,https://news.bloomberglaw.com/us-law-week/federal-prosecutor-used-fabricated-quotes-false-cites-in-filing,"civil, administrative_law, military_benefits","4th_circuit, federal_prosecutor, government_attorney, hallucinated_citations, show_cause, framework_setter, pro_se_detector, doj",Fivehouse v. United States: Show-Cause Order on AUSA AI-Fabricated Citations,"Assistant U.S. Attorney Rudy Renfer signed and filed a brief on behalf of the United States that contained fabricated quotations, misstated case law holdings, and at least two invented quotations attributed to the Code of Federal Regulations. At the show-cause hearing, Renfer stated that after accidentally overwriting a prior draft, he felt panicked and had AI rewrite the brief, then filed it believing he had reviewed it. Pro se plaintiff Derence Fivehouse, a retired Air Force colonel and former staff judge advocate, identified the fabrications by reading the cited authorities and finding the quoted language did not appear there.",facts_corroborated_multi_source
primary,judicial,"In re Martin, 670 B.R. 636 (Bankr. N.D. Ill. 2025) (debtor Marla Martin's 8th Chapter 13 filing)",judicial,7th Cir.,"U.S. Bankruptcy Court, Northern District of Illinois",2025 (exact date pending docket pull),n/a,n/a,[pending docket pull],bankruptcy_rule_9011_ai_duty,"First published bankruptcy-court opinion sanctioning attorney AI misuse (per ABI characterization). Establishes the BANKRUPTCY-COURT FRAMEWORK for AI-hallucinated citations under Bankruptcy Rule 9011 (the bankruptcy-court analog to Fed. R. Civ. P. 11). Court emphasized that 'at this point in time, in 2025, the risk of AI hallucinations is (and should be) widely known in the profession,' implicitly raising the duty-of-verification floor for bankruptcy practitioners. Notable additional pattern: sanctions imposed on a high-volume consumer-bankruptcy law firm (Semrad), connecting AI-misconduct sanctions to the bankruptcy mill operating model.",in-re-martin-ndil-bkrtcy-2025,"bankruptcy_mill_pattern, semrad_law_firm_specific, bankruptcy_filing_verification, rule_9011_compliance","[bankruptcy judge, pending docket pull]",federal,sanctions_order,"$5,500 monetary sanction, jointly and severally on attorney Thomas E. Nield and The Semrad Law Firm. Required attendance by Mr. Nield and one additional senior attorney at a National Conference of Bankruptcy Judges plenary session on AI.",secondary_aggregator (Duane Morris LLP / ABI / Bloomberg Law); primary docket pull pending,https://www.duanemorris.com/articles/bankruptcy_court_issues_first_published_opinion_limits_use_ai_1125.html,"bankruptcy, chapter_13","7th_circuit, bankruptcy_court, hallucinated_citations, semrad_law_firm, bankruptcy_mill, rule_9011, framework_setter, first_bankruptcy_ai_opinion, repeat_filer_chapter_13",In re Martin: Order Imposing Sanctions on Debtor's Counsel for AI-Hallucinated Citations,"In a brief filed in debtor Marla Martin's eighth Chapter 13 filing (September 2024), debtor's counsel cited at least four cases for propositions that did not exist and quoted statements that were not in the underlying decisions. Attorney Thomas E. Nield admitted he had used ChatGPT to generate portions of the legal argument and citations without verifying the existence or substance of the cited cases.",facts_corroborated_multi_source
primary,judicial,In re Jackson Hospital (Bankr. M.D. Ala. 2025),judicial,11th Cir.,"U.S. Bankruptcy Court, Middle District of Alabama",2025 (exact date pending docket pull),n/a,n/a,[pending docket pull],biglaw_rule_9011_no_insulation,"Establishes the BIGLAW BANKRUPTCY-PRACTICE FRAMEWORK: large law firms practicing in bankruptcy court face the same Rule 9011 duties as solo practitioners and small firms, and pre-paying sanctions to avoid a hearing does not insulate counsel from public reprimand. The supplemental-brief 'obdurately clung' language signals an additional doctrinal element: failure to retract or correct after notice may itself constitute compounding misconduct, paralleling the Crabill compounding-misconduct framework.",in-re-jackson-hospital-mdal-bkrtcy-2025,"bankruptcy_filing_verification, biglaw_responder_pattern, supplemental_brief_correction_duty","[bankruptcy judge, pending docket pull]",federal,sanctions_order,"Gordon Rees Scully Mansukhani LLP paid $55,721.20 in fees sought in the Motions for Sanctions, without contesting a hearing. Senior counsel publicly reprimanded by the bankruptcy court. (Notable: the firm is among the 100 largest American law firms by Bloomberg Law's accounting.)",secondary_aggregator (Bloomberg Law / Reason.com); primary docket pull pending,https://news.bloomberglaw.com/bankruptcy-law/bankruptcy-judge-reprimands-ex-gordon-rees-lawyer-for-ai-citations,"bankruptcy, biglaw_practice","11th_circuit, bankruptcy_court, hallucinated_citations, gordon_rees, biglaw, public_reprimand, rule_9011, framework_setter, supplemental_brief_doubling_down, compounding_misconduct",In re Jackson Hospital: Public Reprimand and Fee Award for AI-Hallucinated Citations,"Senior counsel at Gordon Rees Scully Mansukhani filed briefs containing citations that did not stand for the propositions cited, did not contain the quotes attributed to them, or did not exist at all. A supplemental brief 'obdurately clung' to prior positions and 'continued to miscite authorities,' compounding the misconduct.",facts_corroborated_multi_source
none,judicial,"(State criminal prosecution against defendants Christain Garrett and Cornelius Garrett, Kenosha County Cir. Ct. Feb. 2026)",judicial,n/a (state trial court),Kenosha County Circuit Court (Wisconsin),2026-02-06,n/a,n/a,[pending docket pull],criminal_dismissal_remedy_undisclosed_ai,"First documented case of CHARGES DISMISSED as a remedy for prosecutor AI-hallucination misconduct. Establishes the CRIMINAL-PROSECUTION FRAMEWORK: undisclosed AI use plus fabricated citations in a state criminal case can result in dismissal of charges (without prejudice to refiling), not merely monetary sanctions. Significant in pairing with the Renfer/Fivehouse federal AUSA case as a parallel signal that government attorneys, including elected prosecutors, are not insulated from AI-hallucination consequences and that consequences can extend to underlying case dispositions, not just attorney discipline.",solis-kenosha-county-wi-2026,"government_attorney_pattern, miller_doj_posture, undisclosed_ai_use_doctrine","Hon. David Hughes, Kenosha County Circuit Court Judge",state,sanctions_order,"Sanctions imposed against District Attorney Xavier Solis for undisclosed AI use and false citations. Court DISMISSED ALL 74 CRIMINAL CHARGES against defendants Christain Garrett and Cornelius Garrett, without prejudice (charges may be refiled).",secondary_aggregator (Wisconsin Law Journal / Reason.com / Fox6 / WPR); primary docket pull pending,https://wislawjournal.com/2026/02/09/judge-sanctions-kenosha-da-for-ai-use-in-court-filing/,"criminal, state_prosecution","state_court, wisconsin, criminal_prosecution, prosecutor_misconduct, hallucinated_citations, undisclosed_ai_use, charges_dismissed, framework_setter, government_attorney",Sanctions Order Against District Attorney Xavier Solis for AI-Hallucinated Citations and Failure to Disclose AI Use,"Defense attorneys identified that the DA's reply brief in a burglary prosecution 'appears to be riddled with what are called AI hallucinations, including bogus, AI-generated case citations.' One citation was related to construction contract disputes in Nebraska (irrelevant to a Wisconsin burglary case); another was described as 'purely imaginary.' DA Solis did not disclose the use of AI in the filing.",facts_corroborated_multi_source
secondary,judicial,"(ERISA matter, S.D. Ind. 2025)",judicial,7th Cir.,"U.S. District Court, Southern District of Indiana",2025 (recommendation; final disposition pending),n/a,n/a,[pending docket pull],repeated_instance_within_case_aggravator,"Recommendation establishes the REPEATED-INSTANCE-WITHIN-CASE FRAMEWORK for Rule 11 sanctions: where AI-fabricated citations appear in multiple briefs across the same matter, the appropriate sanction scales from per-citation rates toward a substantial flat amount reflecting the sustained nature of the misconduct. Distinguishes from single-brief cases (Watson at $2,000, Mata at $5,000) by treating the pattern itself as an aggravator, in line with the Whiting cross-case escalation framework but applied within a single case.",ramirez-sdind-erisa-2025,"multiple_filing_pattern_risk, rule_11_repeated_misconduct","Hon. Mark J. Dinsmore, U.S. Magistrate Judge",federal,sanctions_order,"Magistrate Judge Dinsmore recommended a $15,000 personal sanction against attorney Rafael Ramirez of Rio Hondo, Texas, for filing three separate briefs containing AI-generated fake citations in violation of Federal Rule of Civil Procedure 11.",secondary_aggregator (Bloomberg Law); primary docket pull pending,https://news.bloomberglaw.com/litigation/lawyer-sanctioned-over-ai-hallucinated-case-cites-quotations,"civil, erisa, employee_benefits","7th_circuit, sdind, erisa, hallucinated_citations, rule_11, repeated_instance_within_case, magistrate_recommendation, framework_setter, attorney",Recommended Sanctions Against Attorney Rafael Ramirez for AI-Hallucinated Citations in ERISA Briefs,"Three separate briefs filed in an Indiana ERISA matter, each containing AI-generated fabricated citations. The repeated-filing pattern across three briefs indicated a sustained Rule 11 violation rather than an isolated lapse.",facts_corroborated_multi_source
secondary,judicial,"Gauthier v. Goodyear Tire & Rubber Co., No. 1:23-CV-00281 (E.D. Tex. 2024)",judicial,5th Cir.,"U.S. District Court, Eastern District of Texas",2024-11-25 (per JDJournal coverage; exact day pending docket pull),n/a,n/a,1:23-CV-00281,educational_remedy_mandatory_ai_course,"Establishes the EDUCATIONAL-REMEDY FRAMEWORK: monetary sanctions paired with mandatory CLE-style AI course attendance as a corrective sanction. Reflects an emerging judicial recognition that attorney AI competence is a learnable skill and that remediation through education complements monetary deterrence. Subsequent orders (notably In re Martin, requiring NCBJ AI plenary attendance) adopt similar educational components.",monk-edtex-goodyear-2024,"corrective_sanctions_pattern, ai_competence_remediation","Hon. Marcia Crone, U.S.D.J.",federal,sanctions_order,"$2,000 fine against plaintiff's lawyer Brandon Monk. Court additionally required Monk to attend a course on generative AI in the legal field as a condition of the sanctions order.",secondary_aggregator (Bloomberg Law / JDJournal); primary docket pull pending,https://news.bloomberglaw.com/litigation/texas-attorney-sanctioned-over-ai-generated-citations-in-filing,"civil, employment, wrongful_termination","5th_circuit, edtex, hallucinated_citations, rule_11, educational_remedy, mandatory_ai_course, framework_setter, attorney, employment",Gauthier v. Goodyear Tire & Rubber Co.: Sanctions Order on Plaintiff's Counsel for AI-Hallucinated Citations,Plaintiff's counsel Brandon Monk filed a brief in a wrongful-termination matter against Goodyear Tire & Rubber Co. that contained AI-generated fabricated citations.,facts_corroborated_multi_source
none,executive,"88 Fed. Reg. 75191 (Nov. 1, 2023)",executive,n/a,n/a (executive branch action),2023-10-30,n/a,"Required federal agencies to develop standards, tests, and tools for AI safety; required developers of dual-use foundation models to share safety test results with the federal government; directed NIST to establish guidelines for AI red-teaming; required CFOs and CIOs to designate Chief AI Officers in federal agencies.",EO 14110,foundational_federal_ai_governance,"The most comprehensive U.S. federal-government AI governance instrument issued to date at the time of issuance. Directed over 50 federal entities to take more than 100 specific actions across eight policy areas: safety and security; innovation and competition; supporting workers; equity and civil rights; consumer protection; privacy; federal use of AI; and international leadership. Established the foundational federal-AI policy architecture that subsequent OMB memos (M-24-10), agency guidance, and NIST AI Risk Management Framework operationalized. REVOKED by Executive Order 14179 on January 20, 2025, though many of its operational artifacts (NIST AI RMF, agency Chief AI Officer roles created under it, etc.) persist as freestanding institutional structures.",eo-14110-biden-ai-2023,"federal_ai_policy_baseline, agency_chief_ai_officer_predicate",n/a (executive order issued by President Biden),federal,executive_order,,federal_register,https://www.federalregister.gov/documents/2023/11/01/2023-24283/safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence,"federal_ai_policy, national_security, civil_rights, consumer_protection, privacy, labor","executive_branch, biden_administration, federal_ai_governance, nist_ai_rmf_predicate, revoked, foundational_ai_policy, federal_register","Executive Order 14110: Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence","Issued in response to the rapid public deployment of generative AI systems through 2022-2023 and growing concern over AI risks across national security, civil rights, consumer protection, and labor markets.",primary_source_verified
none,executive,(Federal Register publication forthcoming at issuance; pending exact citation),executive,n/a,n/a (executive branch action),2025-01-20,n/a,n/a,EO 14179,federal_ai_deregulation,"Revokes Executive Order 14110 (Biden's Safe, Secure, and Trustworthy AI). Establishes the DEREGULATORY FEDERAL AI FRAMEWORK: rescinds the federal-government AI safety/security testing requirements, foundation-model developer reporting obligations, and centralized federal AI governance architecture established in EO 14110. Many operational artifacts of EO 14110 (NIST AI RMF as a voluntary framework, agency Chief AI Officer roles) are not directly affected and persist as freestanding institutional structures, but their political-policy backing is removed. Notable for the policy whiplash it creates for federal contractors, AI developers, and agencies that built compliance programs around EO 14110.",eo-14179-trump-ai-revocation-2025,"federal_ai_policy_baseline, policy_volatility",n/a (executive order issued by President Trump),federal,executive_order,,court_website,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,federal_ai_policy,"executive_branch, trump_administration, federal_ai_governance, deregulation, eo_14110_revocation, policy_whiplash",Executive Order 14179: Removing Barriers to American Leadership in Artificial Intelligence,"Issued on Day 1 of the Trump second-term administration as part of a broader rollback of Biden-era executive actions, with stated rationale that prior AI EO regulatory architecture restricted American AI competitiveness.",primary_source_verified
primary,judicial,(Bankr. D.S.C. 2025) (adversary proceeding by debtors against landlord),judicial,4th Cir.,"U.S. Bankruptcy Court, District of South Carolina",2025 (exact date pending docket pull),n/a,n/a,[pending docket pull],non_monetary_bankruptcy_sanction,"Establishes the NON-MONETARY-SANCTION FRAMEWORK in bankruptcy court for AI-hallucinated citations: where the misconduct is more isolated (two fabricated cases rather than systemic pattern across multiple briefs), bankruptcy courts may deploy non-monetary remedies (public notation in record, mandatory educational requirements, future filing-conduct strictures) rather than monetary fines. Significant for proportionality analysis: not every bankruptcy AI hallucination triggers In re Martin / In re Jackson Hospital level monetary sanctions.",glyndon-square-llc-bkrtcy-dsc-2025,"bankruptcy_filing_verification, proportionality_analysis, adversary_proceeding_pattern","[bankruptcy judge, pending docket pull]",federal,sanctions_order,Non-monetary sanctions imposed on debtors' counsel.,secondary_aggregator (Bloomberg Law); primary docket pull pending,https://news.bloomberglaw.com/bankruptcy-law/bankruptcy-judges-step-up-sanctions-on-attorneys-misusing-ai,"bankruptcy, adversary_proceeding, landlord_tenant","4th_circuit, bankruptcy_court, adversary_proceeding, hallucinated_citations, non_monetary_sanctions, rule_9011, proportionality, framework_setter",Glyndon Square LLC Adversary Proceeding: Order on AI-Hallucinated Bankruptcy Citations,Debtors' counsel filed a motion for preliminary injunction in adversary proceeding against landlord Glyndon Square LLC. The motion cited two bankruptcy cases that did not exist.,facts_corroborated_multi_source
primary,judicial,(Bankr. S.D.N.Y. April 2026),judicial,2d Cir.,"U.S. Bankruptcy Court, Southern District of New York",2026-04-18,n/a,n/a,[pending docket pull],self_disclosure_mitigation,"Emergency self-disclosure pattern. Significant as a proactive-disclosure framework: where AI-fabricated content is detected post-filing, prompt self-reporting (rather than concealment or doubling-down) is being used by sanctions-aware counsel as a mitigation strategy. Demonstrates that even top-tier BigLaw practices in the highest-profile bankruptcy district are vulnerable to AI-hallucination errors. Outcome will set a precedent for whether self-disclosure mitigates sanctions in BigLaw bankruptcy contexts.",in-re-prince-usa-sdny-bkrtcy-2026,"bankruptcy_filing_verification, self_disclosure_pattern, biglaw_responder_pattern","[bankruptcy judge, pending docket pull]",federal,opinion,"Sanctions disposition pending. Sullivan & Cromwell filed emergency letter on April 18, 2026, asking the court to avoid imposing sanctions after admitting its court filing contained AI-generated hallucinations.",secondary_aggregator (Bloomberg Law); primary docket pull pending,https://news.bloomberglaw.com/bankruptcy-law/bankruptcy-judges-step-up-sanctions-on-attorneys-misusing-ai,"bankruptcy, biglaw_practice","2d_circuit, bankruptcy_court, sullivan_cromwell, biglaw, self_disclosure, hallucinated_citations, proactive_mitigation, framework_pending, sdny",In re Prince USA: Sullivan & Cromwell Emergency Letter on AI-Generated Hallucinations,"Sullivan & Cromwell, one of the most prominent BigLaw firms in the United States, admitted in its own filed letter that a brief in this bankruptcy matter contained AI-generated hallucinations including fabricated citations and legal errors. The firm self-reported and filed the emergency letter rather than waiting for opposing counsel or the court to detect the fabrications.",facts_corroborated_multi_source
none,executive,"OMB M-24-10 (Mar. 28, 2024)",regulatory,n/a,n/a (executive branch action),2024-03-28,true,Directs federal executive-branch agencies to: (1) designate a Chief AI Officer (CAIO); (2) establish internal AI governance mechanisms; (3) maintain inventories of AI use cases; (4) adopt minimum risk-management practices for AI systems presumed to be rights-impacting or safety-impacting (presumptive list defined in the memo); (5) implement notice and explanation rights for individuals affected by AI decisions; (6) monitor and evaluate AI performance ongoing.,M-24-10,federal_agency_ai_governance,"Operationalizing companion to EO 14110. Establishes the FEDERAL AGENCY AI GOVERNANCE FRAMEWORK: every federal executive-branch agency must designate a Chief AI Officer, maintain an AI use-case inventory, and apply differentiated risk management to rights-impacting and safety-impacting AI systems. References the NIST AI Risk Management Framework as a key technical reference for agency compliance. Notable persistence layer: even after EO 14110 was revoked, the operational structures created under M-24-10 (CAIO roles, inventories) generally persist as freestanding institutional artifacts; partially superseded by OMB M-25-21 in February 2025.",omb-m-24-10-2024,"federal_ai_policy_baseline, agency_compliance_pattern",n/a (issued by Office of Management and Budget),federal,agency_rule,,court_website,https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,"federal_ai_policy, agency_governance, civil_rights, public_safety","executive_branch, omb, biden_administration, federal_agency_ai, chief_ai_officer, ai_inventory, risk_management, eo_14110_implementation, partially_superseded","OMB Memorandum M-24-10: Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence",Issued by OMB pursuant to EO 14110 to operationalize federal-agency AI governance requirements.,primary_source_verified
none,executive,OMB M-25-21 (Feb. 2025),regulatory,n/a,n/a (executive branch action),2025-02 (exact date pending verification),true,"Reframes federal AI governance from EO 14110 / M-24-10 emphasis on safety/rights-protection toward an emphasis on innovation, public trust, and accelerated federal AI adoption. Maintains some governance structures (Chief AI Officer roles, inventories) while loosening other risk-management constraints.",M-25-21,federal_ai_policy_acceleration,"Replacement memorandum that reframes federal AI governance toward acceleration and innovation, partially superseding M-24-10. Preserves some operational structures (Chief AI Officer roles, AI use-case inventories) but reorients the policy emphasis from safety/rights-protection to adoption velocity and public trust. Establishes the POLICY-WHIPLASH FRAMEWORK for federal AI compliance officers: agency-level governance structures must accommodate rapid policy reorientation across administrations without complete operational reset.",omb-m-25-21-2025,"federal_ai_policy_baseline, policy_volatility",n/a (issued by Office of Management and Budget),federal,agency_rule,,court_website,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,"federal_ai_policy, agency_governance","executive_branch, omb, trump_administration, federal_agency_ai, partial_supersession, policy_whiplash, deregulatory_reorientation","OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust","Issued by the Trump administration OMB to replace the Biden-era M-24-10 governance framework, consistent with the broader deregulatory posture of EO 14179.",primary_source_verified
none,executive,"NIST AI 100-1 (Jan. 26, 2023)",regulatory,n/a,n/a (federal agency-issued voluntary framework),2023-01-26,false,"Voluntary framework. Provides guidance for organizations to incorporate trustworthiness considerations into the design, development, use, and evaluation of AI products, services, and systems. Organized around four core functions: GOVERN, MAP, MEASURE, MANAGE.",NIST AI 100-1,voluntary_ai_risk_management,"Establishes the FOUNDATIONAL VOLUNTARY US AI GOVERNANCE FRAMEWORK. Adopted as a key technical reference by federal agencies under EO 14110 / OMB M-24-10. Remains operationally durable across administrations because of its voluntary, technical-reference status (rather than regulatory), survived the Biden-Trump transition unchanged. The four-function GOVERN-MAP-MEASURE-MANAGE structure has become the dominant US analog to international AI governance frameworks (EU AI Act risk categorization, ISO/IEC 23894 AI risk management). Cited by federal agencies, state legislatures (Colorado AI Act), and private-sector compliance programs as the baseline US AI risk-management standard.",nist-ai-rmf-1-0-2023,"federal_ai_policy_baseline, technical_reference_durability",n/a (issued by National Institute of Standards and Technology),federal,agency_rule,,court_website,https://www.nist.gov/itl/ai-risk-management-framework,"ai_risk_management, technical_standards","federal_agency, nist, voluntary_framework, ai_risk_management, trustworthy_ai, durable_across_administrations, foundational",NIST AI Risk Management Framework 1.0 (AI RMF 1.0),Developed in response to Congressional direction in the National AI Initiative Act of 2020 and growing public/agency concern over AI trustworthiness. Released after 18 months of public consultation and stakeholder input.,primary_source_verified
secondary,legislative,"Colo. Rev. Stat. tit. 6, art. 1, pt. 17 (2024)",legislative,n/a,n/a (state legislation),2024-05-17,true,"Requires developers and deployers of high-risk AI systems to use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination. Specific obligations include implementing a risk management policy, completing impact assessments, conducting annual deployment reviews, providing consumer notification of AI use in consequential decisions, and providing appeal opportunities. Effective date originally Feb. 1, 2026; extended to June 30, 2026 by SB25B-004.",SB24-205,state_high_risk_ai_consumer_protection,"FIRST COMPREHENSIVE STATE AI CONSUMER PROTECTION LAW with broad scope (Colorado is the second US state to enact major AI consumer-protection legislation; the first is the subject of jurisdictional debate among practitioners). Establishes the STATE-LEVEL HIGH-RISK AI FRAMEWORK: risk categorization, mandatory impact assessments, consumer notification rights, and appeal mechanisms for algorithmic decisions affecting employment, housing, financial services, education, and other consequential domains. Influential template for subsequent state AI legislation. Notable for the multi-step delayed effective date (originally Feb 2026, extended to June 30 2026), reflecting industry compliance-readiness concerns.",colorado-ai-act-sb24-205,"state_ai_law_baseline, algorithmic_discrimination_doctrine",n/a (signed by Governor Jared Polis),state,legislation,Enforcement by Colorado Attorney General; civil penalties for violations. Specific penalty schedule subject to AG rulemaking under the Anti-Discrimination in AI rulemaking authority.,court_website,https://leg.colorado.gov/bills/sb24-205,"consumer_protection, employment, housing, insurance, financial_services, algorithmic_discrimination","state_legislation, colorado, consumer_protection, algorithmic_discrimination, high_risk_ai, foundational_state_law, eu_ai_act_inspired, polis_administration",Colorado Senate Bill 24-205: Consumer Protections for Artificial Intelligence (Colorado AI Act),"Enacted in response to growing legislative concern over algorithmic discrimination in consequential consumer-facing AI decisions (employment, housing, insurance, education, financial services). Modeled in part on EU AI Act risk-categorization approach.",primary_source_verified
